magasin;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_nomenclatures;nb_manques;nb_surplus;manques_total;surplus_total;ratio_exploitation_stock
CNSO;396;17270.0;43.61;-180.0;795.0;3367.0;8.5;20637.0;52.11;396;68;302;1012.0;18282.0;0.163
BST;291;-9742.0;-33.48;-1068.0;111.0;12537.0;43.08;2795.0;9.6;291;204;69;10460.0;718.0;4.484
MRC;179;-4706.0;-26.29;-536.0;11.0;5246.0;29.31;540.0;3.02;179;157;13;4743.0;37.0;9.697
CGC;76;-2556.0;-33.63;-447.0;4.0;2788.0;36.68;232.0;3.05;76;67;2;2562.0;6.0;11.966
MDM;109;-1628.0;-14.94;-190.0;34.0;2023.0;18.56;395.0;3.62;109;82;19;1744.0;116.0;5.109
CHG;177;-1290.0;-7.29;-192.0;90.0;2318.0;13.1;1028.0;5.81;177;113;39;1679.0;389.0;2.253
PAU;75;-1193.0;-15.91;-175.0;47.0;1560.0;20.8;367.0;4.89;75;55;13;1306.0;113.0;4.239
ANTACL;42;-582.0;-13.86;-209.0;61.0;878.0;20.9;296.0;7.05;42;32;8;708.0;126.0;2.956
BCE;19;-437.0;-23.0;-227.0;54.0;615.0;32.37;178.0;9.37;19;13;3;527.0;90.0;3.436
BLD;26;-90.0;-3.46;-46.0;12.0;259.0;9.96;169.0;6.5;26;15;8;142.0;52.0;1.524
